#Angle potential for harmonic

ANGLE1
N 1001

557 100.25999999999999 0.3746036098625025 0.1762840517000006
558 100.44 0.3435444338829813 0.1688179036280003
559 100.61999999999999 0.3138291645564224 0.16135175555600062
560 100.8 0.28545780188282127 0.15388560748400035
561 100.97999999999999 0.2584303458621823 0.14641945941200066
562 101.16 0.2327467964945012 0.13895331134000036
563 101.33999999999999 0.2084071537797821 0.13148716326800067
564 101.52 0.18541141771802114 0.12402101519600038
565 101.7 0.16375958830922027 0.11655486712400011
566 101.88 0.14345166555338107 0.1090887190520004
567 102.06 0.1244876494505003 0.10162257098000012
568 102.24 0.10686754000058098 0.09415642290800043
569 102.42 0.09059133720362031 0.08669027483600014
570 102.6 0.07565904105962086 0.07922412676400045
571 102.78 0.06207065156858029 0.07175797869200017
572 102.96 0.04982616873050074 0.06429183062000048
573 103.14 0.038925592545380264 0.05682568254800019
574 103.32 0.02936892301322059 0.0493595344760005
575 103.5 0.02115616013402022 0.04189338640400021
576 103.67999999999999 0.01428730390778043 0.03442723833200052
577 103.86 0.008762354334500153 0.026961090260000237
578 104.03999999999999 0.0045813114141802554 0.019494942188000543
579 104.22 0.0017441751468200753 0.01202879411600026
580 104.39999999999999 0.0002509455324200622 0.004562646044000566
581 104.58 0.0001016225709799802 -0.002903502027999717
582 104.75999999999999 0.0012962062624998526 -0.010369650099999411
583 104.94 0.0038346966069798686 -0.017835798171999696
584 105.11999999999999 0.007717093604419626 -0.02530194624399939
